_id,PLAY_DATE,PLAY_NAME,THEATER_NAME,PLAY_CATEGORY,IS_GUEST_PLAY,PLAY_TYPE,LONGITUDE,LATITUDE,NUMBER_OF_AUDIENCE
5512,2019-12-27,KAHVEDE ŞENLİK VAR,Gaziosmanpaşa Sahnesi,Yetişkin,0,Yerli,28.9164819999999985,41.0578459999999978,18
5513,2020-02-04,"AY, CARMELA!",Fatih Reşat Nuri Sahnesi,Yetişkin,0,Yabancı,28.956194,41.015900000000002,30
5514,2018-04-04,CİBALİ KARAKOLU,Harbiye Muhsin Ertuğrul Sahnesi,Müzikal,0,Yabancı,28.9888289999999991,41.0467879999999994,9
5515,2018-05-12,BÜYÜK ROMULUS (YEDİTEPE ÜNİ. G.S.F. TİYATRO BÖLÜMÜ),Üsküdar Musahipzade Celãl Sahnesi,Yetişkin,1,Yabancı,29.0128999999999984,41.019561000000003,2
5516,2017-12-25,ÜÇ KARDEŞ VE MUHTEŞEM KURT,Kağıthane Küçük Kemal Çocuk Tiyatrosu Sahnesi,Çocuk,0,Yerli,28.9709719999999997,41.0793660000000003,10
5517,2017-09-27,OYUNUN OYUNU,Ümraniye Sahnesi,Yetişkin,0,Yabancı,29.1047979999999988,41.0250249999999994,107
5518,2018-01-20,CİBALİ KARAKOLU,Kağıthane Sadabad Sahnesi,Müzikal,0,Yabancı,28.9709719999999997,41.0793660000000003,114
5519,2017-12-07,GEÇ KALANLAR,Fatih Reşat Nuri Sahnesi,Yetişkin,0,Yerli,28.956194,41.015900000000002,81
5520,2018-04-13,KARINCALAR - BİR SAVAŞ VARDI,Üsküdar Musahipzade Celãl Sahnesi,Yetişkin,0,Yabancı,29.0128999999999984,41.019561000000003,23
5521,2018-12-20,ÜZGÜN AĞAÇLAR ÜLKESİ,Ümraniye Sahnesi,Çocuk,0,Yerli,29.1047979999999988,41.0250249999999994,1
5522,2018-04-07,BAK BİZİM ŞARKIMIZI ÇALIYORLAR,Kağıthane Sadabad Sahnesi,Müzikal,0,Yabancı,28.9709719999999997,41.0793660000000003,14
5523,2019-12-25,MATRUŞKA,Kadıköy Haldun Taner Sahnesi,Yetişkin,0,Yerli,29.0234079999999999,40.9917700000000025,41
5524,2017-11-07,DEDEKTİF KÖPEK CASH,Harbiye Muhsin Ertuğrul Sahnesi,Çocuk,0,Yerli,28.9888289999999991,41.0467879999999994,133
